Parlay_ID,Legs,Leg_Number,Player,Prop_Type,Line,Team,Opponent,Parlay_Probability,Parlay_Payout,Parlay_EV
1,2,1,William Nylander,POINTS,0.5,TOR,CBJ,0.8537532564074073,3.0,1.5612597692222216
1,2,2,Kirill Marchenko,SHOTS,2.5,CBJ,TOR,0.8537532564074073,3.0,1.5612597692222216
2,2,1,John Tavares,POINTS,0.5,TOR,CBJ,0.8179180868292542,3.0,1.4537542604877625
2,2,2,Kirill Marchenko,SHOTS,2.5,CBJ,TOR,0.8179180868292542,3.0,1.4537542604877625
3,2,1,Matthew Knies,POINTS,0.5,TOR,CBJ,0.8179180868292542,3.0,1.4537542604877625
3,2,2,Kirill Marchenko,SHOTS,2.5,CBJ,TOR,0.8179180868292542,3.0,1.4537542604877625
4,2,1,Kirill Marchenko,SHOTS,2.5,CBJ,TOR,0.7776795635298241,3.0,1.3330386905894724
4,2,2,Auston Matthews,SHOTS,2.5,TOR,CBJ,0.7776795635298241,3.0,1.3330386905894724
5,2,1,William Nylander,POINTS,0.5,TOR,CBJ,0.7635624999999999,3.0,1.2906874999999998
5,2,2,Dmitri Voronkov,POINTS,0.5,CBJ,TOR,0.7635624999999999,3.0,1.2906874999999998
6,2,1,William Nylander,POINTS,0.5,TOR,CBJ,0.7635624999999999,3.0,1.2906874999999998
6,2,2,Kirill Marchenko,POINTS,0.5,CBJ,TOR,0.7635624999999999,3.0,1.2906874999999998
7,2,1,Matthew Knies,POINTS,0.5,TOR,CBJ,0.7315129687499998,3.0,1.1945389062499996
7,2,2,Kirill Marchenko,POINTS,0.5,CBJ,TOR,0.7315129687499998,3.0,1.1945389062499996
8,2,1,John Tavares,POINTS,0.5,TOR,CBJ,0.7315129687499998,3.0,1.1945389062499996
8,2,2,Dmitri Voronkov,POINTS,0.5,CBJ,TOR,0.7315129687499998,3.0,1.1945389062499996
