Parlay_ID,Legs,Leg_Number,Player,Prop_Type,Line,Odds_Type,Team,Opponent,Combined_Probability,Min_Payout_10pct_EV,Min_Payout_5pct_EV,Min_Payout_Breakeven,Estimated_Payout,Estimated_EV,Actual_Payout,Action
1,2,1,Bo Horvat,SHOTS,1.5,GOBLIN,NYI,UNK,61.7%,1.78x,1.70x,1.62x,3.0x,+85.1%,,
1,2,2,Emmitt Finnie,POINTS,0.5,DEMON,DET,UNK,61.7%,1.78x,1.70x,1.62x,3.0x,+85.1%,,
2,2,1,Emmitt Finnie,POINTS,0.5,DEMON,DET,UNK,61.7%,1.78x,1.70x,1.62x,3.0x,+85.1%,,
2,2,2,Jack Eichel,POINTS,0.5,GOBLIN,VGK,UNK,61.7%,1.78x,1.70x,1.62x,3.0x,+85.1%,,
3,2,1,Emmitt Finnie,POINTS,0.5,DEMON,DET,UNK,61.7%,1.78x,1.70x,1.62x,3.0x,+85.1%,,
3,2,2,Leo Carlsson,SHOTS,1.5,GOBLIN,ANA,UNK,61.7%,1.78x,1.70x,1.62x,3.0x,+85.1%,,
4,2,1,Emmitt Finnie,POINTS,0.5,DEMON,DET,UNK,61.7%,1.78x,1.70x,1.62x,3.0x,+85.1%,,
4,2,2,Nathan MacKinnon,POINTS,0.5,GOBLIN,COL,UNK,61.7%,1.78x,1.70x,1.62x,3.0x,+85.1%,,
5,2,1,Anders Lee,POINTS,0.5,DEMON,NYI,UNK,60.6%,1.82x,1.73x,1.65x,3.0x,+81.8%,,
5,2,2,Dylan Larkin,POINTS,0.5,GOBLIN,DET,UNK,60.6%,1.82x,1.73x,1.65x,3.0x,+81.8%,,
6,2,1,Emmitt Finnie,POINTS,0.5,DEMON,DET,UNK,61.7%,1.78x,1.70x,1.62x,3.0x,+85.1%,,
6,2,2,Pavel Dorofeyev,SHOTS,1.5,GOBLIN,VGK,UNK,61.7%,1.78x,1.70x,1.62x,3.0x,+85.1%,,
7,2,1,Anders Lee,POINTS,0.5,DEMON,NYI,UNK,60.6%,1.82x,1.73x,1.65x,3.0x,+81.8%,,
7,2,2,Victor Olofsson,SHOTS,1.5,GOBLIN,COL,UNK,60.6%,1.82x,1.73x,1.65x,3.0x,+81.8%,,
8,2,1,Dylan Larkin,POINTS,0.5,GOBLIN,DET,UNK,90.2%,1.22x,1.16x,1.11x,2.0x,+81.4%,,
8,2,2,Victor Olofsson,SHOTS,1.5,GOBLIN,COL,UNK,90.2%,1.22x,1.16x,1.11x,2.0x,+81.4%,,
9,3,1,Alex DeBrincat,POINTS,0.5,GOBLIN,DET,UNK,71.8%,1.53x,1.46x,1.39x,3.0x,+115.5%,,
9,3,2,Bo Horvat,SHOTS,1.5,GOBLIN,NYI,UNK,71.8%,1.53x,1.46x,1.39x,3.0x,+115.5%,,
9,3,3,Jack Eichel,POINTS,0.5,GOBLIN,VGK,UNK,71.8%,1.53x,1.46x,1.39x,3.0x,+115.5%,,
10,3,1,Alex DeBrincat,POINTS,0.5,GOBLIN,DET,UNK,71.8%,1.53x,1.46x,1.39x,3.0x,+115.5%,,
10,3,2,Bo Horvat,SHOTS,1.5,GOBLIN,NYI,UNK,71.8%,1.53x,1.46x,1.39x,3.0x,+115.5%,,
10,3,3,Leo Carlsson,SHOTS,1.5,GOBLIN,ANA,UNK,71.8%,1.53x,1.46x,1.39x,3.0x,+115.5%,,
11,3,1,Alex DeBrincat,POINTS,0.5,GOBLIN,DET,UNK,71.8%,1.53x,1.46x,1.39x,3.0x,+115.5%,,
11,3,2,Bo Horvat,SHOTS,1.5,GOBLIN,NYI,UNK,71.8%,1.53x,1.46x,1.39x,3.0x,+115.5%,,
11,3,3,Nathan MacKinnon,POINTS,0.5,GOBLIN,COL,UNK,71.8%,1.53x,1.46x,1.39x,3.0x,+115.5%,,
12,3,1,Alex DeBrincat,POINTS,0.5,GOBLIN,DET,UNK,71.8%,1.53x,1.46x,1.39x,3.0x,+115.5%,,
12,3,2,Bo Horvat,SHOTS,1.5,GOBLIN,NYI,UNK,71.8%,1.53x,1.46x,1.39x,3.0x,+115.5%,,
12,3,3,Pavel Dorofeyev,SHOTS,1.5,GOBLIN,VGK,UNK,71.8%,1.53x,1.46x,1.39x,3.0x,+115.5%,,
13,4,1,Alex DeBrincat,POINTS,0.5,GOBLIN,DET,UNK,38.5%,2.86x,2.73x,2.60x,7.5x,+188.7%,,
13,4,2,Aliaksei Protas,SHOTS,1.5,GOBLIN,WSH,UNK,38.5%,2.86x,2.73x,2.60x,7.5x,+188.7%,,
13,4,3,Anders Lee,POINTS,0.5,DEMON,NYI,UNK,38.5%,2.86x,2.73x,2.60x,7.5x,+188.7%,,
13,4,4,Jack Eichel,POINTS,0.5,GOBLIN,VGK,UNK,38.5%,2.86x,2.73x,2.60x,7.5x,+188.7%,,
14,4,1,Alex DeBrincat,POINTS,0.5,GOBLIN,DET,UNK,38.5%,2.86x,2.73x,2.60x,7.5x,+188.7%,,
14,4,2,Aliaksei Protas,SHOTS,1.5,GOBLIN,WSH,UNK,38.5%,2.86x,2.73x,2.60x,7.5x,+188.7%,,
14,4,3,Anders Lee,POINTS,0.5,DEMON,NYI,UNK,38.5%,2.86x,2.73x,2.60x,7.5x,+188.7%,,
14,4,4,Leo Carlsson,SHOTS,1.5,GOBLIN,ANA,UNK,38.5%,2.86x,2.73x,2.60x,7.5x,+188.7%,,
