date,player_name,prop_type,line,odds_type,individual_multiplier,implied_probability,confidence,observations,baseline_used,parlay_payout,last_updated
2025-10-30,Justin Brazeau,points,0.5,unknown,2.3094010767585034,43.3%,70%,1,Standard pick assumption,4.0,2025-10-30T19:04:31.559861
2025-10-30,William Eklund,shots,2.5,unknown,2.0207259421636903,49.5%,70%,1,Standard pick assumption,3.5,2025-10-30T19:04:31.562181
2025-10-30,Shane Pinto,shots,2.5,unknown,2.0207259421636903,49.5%,70%,1,Standard pick assumption,3.5,2025-10-30T19:04:31.578626
2025-10-30,Bo Horvat,shots,2.5,unknown,1.7320508075688774,57.7%,70%,1,Standard pick assumption,3.0,2025-10-30T19:04:31.566675
2025-10-30,Marco Rossi,points,0.5,unknown,1.7320508075688774,57.7%,70%,1,Standard pick assumption,3.0,2025-10-30T19:04:31.568067
2025-10-30,Anthony Cirelli,points,0.5,unknown,1.7320508075688774,57.7%,70%,1,Standard pick assumption,3.0,2025-10-30T19:04:31.591218
2025-10-30,Dylan Cozens,points,0.5,unknown,1.7320508075688774,57.7%,70%,1,Standard pick assumption,3.0,2025-10-30T19:04:31.592687
2025-10-30,Frank Nazar,points,0.5,unknown,1.7320508075688774,57.7%,70%,1,Standard pick assumption,3.0,2025-10-30T19:04:31.594035
2025-10-30,Jake Sanderson,points,0.5,unknown,1.7320508075688774,57.7%,70%,1,Standard pick assumption,3.0,2025-10-30T19:04:31.595412
2025-10-30,Kevin Fiala,shots,2.5,unknown,1.7320508075688774,57.7%,70%,1,Standard pick assumption,3.0,2025-10-30T19:04:31.596752
2025-10-30,Will Smith,points,0.5,unknown,1.7320508075688774,57.7%,70%,1,Standard pick assumption,3.0,2025-10-30T19:04:31.598100
2025-10-30,Wyatt Johnston,shots,2.5,unknown,1.7320508075688774,57.7%,70%,1,Standard pick assumption,3.0,2025-10-30T19:04:31.599334
2025-10-30,Evgeni Malkin,points,0.5,unknown,1.5877132402714709,63.0%,70%,1,Standard pick assumption,2.75,2025-10-30T19:04:31.563766
2025-10-30,Seth Jarvis,shots,2.5,unknown,1.5877132402714709,63.0%,70%,1,Standard pick assumption,2.75,2025-10-30T19:04:31.565325
2025-10-30,Alex DeBrincat,shots,2.5,unknown,1.5877132402714709,63.0%,70%,1,Standard pick assumption,2.75,2025-10-30T19:04:31.579889
2025-10-30,Connor Bedard,points,0.5,unknown,1.5877132402714709,63.0%,70%,1,Standard pick assumption,2.75,2025-10-30T19:04:31.581266
2025-10-30,Jake Guentzel,shots,2.5,unknown,1.5877132402714709,63.0%,70%,1,Standard pick assumption,2.75,2025-10-30T19:04:31.582615
2025-10-30,Jason Robertson,shots,2.5,unknown,1.5877132402714709,63.0%,70%,1,Standard pick assumption,2.75,2025-10-30T19:04:31.583901
2025-10-30,Adrian Kempe,shots,2.5,unknown,1.5877132402714709,63.0%,70%,1,Standard pick assumption,2.75,2025-10-30T19:04:31.604592
2025-10-30,Alex DeBrincat,points,0.5,unknown,1.5877132402714709,63.0%,70%,1,Standard pick assumption,2.75,2025-10-30T19:04:31.605982
2025-10-30,Macklin Celebrini,shots,2.5,unknown,1.5877132402714709,63.0%,70%,1,Standard pick assumption,2.75,2025-10-30T19:04:31.607302
2025-10-30,Wyatt Johnston,points,0.5,unknown,1.5877132402714709,63.0%,70%,1,Standard pick assumption,2.75,2025-10-30T19:04:31.608801
2025-10-30,Adrian Kempe,points,0.5,unknown,1.4433756729740645,69.3%,70%,1,Standard pick assumption,2.5,2025-10-30T19:04:31.569700
2025-10-30,Drake Batherson,points,0.5,unknown,1.4433756729740645,69.3%,70%,1,Standard pick assumption,2.5,2025-10-30T19:04:31.571353
2025-10-30,Dylan Larkin,points,0.5,unknown,1.4433756729740645,69.3%,70%,1,Standard pick assumption,2.5,2025-10-30T19:04:31.572865
