player_name,team,opponent,prop_type,line,odds_type,our_probability,pp_implied_probability,edge,expected_value,ev_pct,payout_multiplier,reasoning
Mark Scheifele,WPG,UNK,points,1.5,demon,85.0%,25.0%,+60.0%,2.4,+240.0%,4.0,"Extrapolated from 0.5 (95.0%), -10% for +1.0 line"
Kirill Kaprizov,MIN,UNK,points,1.5,demon,85.0%,25.0%,+60.0%,2.4,+240.0%,4.0,"Extrapolated from 0.5 (95.0%), -10% for +1.0 line"
Jack Hughes,NJ,UNK,points,1.5,demon,85.0%,25.0%,+60.0%,2.4,+240.0%,4.0,"Extrapolated from 0.5 (95.0%), -10% for +1.0 line"
Macklin Celebrini,SJ,UNK,points,1.5,demon,85.0%,25.0%,+60.0%,2.4,+240.0%,4.0,"Extrapolated from 0.5 (95.0%), -10% for +1.0 line"
Dylan Larkin,DET,UNK,points,1.5,demon,85.0%,25.0%,+60.0%,2.4,+240.0%,4.0,"Extrapolated from 0.5 (95.0%), -10% for +1.0 line"
Evgeni Malkin,PIT,UNK,points,1.5,demon,84.6%,25.0%,+59.6%,2.384727272727273,+238.5%,4.0,"Extrapolated from 0.5 (94.6%), -10% for +1.0 line"
Adrian Kempe,LA,UNK,points,1.5,demon,82.2%,25.0%,+57.2%,2.286545454545455,+228.7%,4.0,"Extrapolated from 0.5 (92.2%), -10% for +1.0 line"
Sidney Crosby,PIT,UNK,points,1.5,demon,80.0%,25.0%,+55.0%,2.198181818181818,+219.8%,4.0,"Extrapolated from 0.5 (90.0%), -10% for +1.0 line"
William Eklund,SJ,UNK,shots,2.5,demon,76.3%,25.0%,+51.3%,2.051002032030718,+205.1%,4.0,2.9 SOG/G
Justin Brazeau,PIT,UNK,points,0.5,demon,76.0%,25.0%,+51.0%,2.038545454545454,+203.9%,4.0,1.09 PPG
Jesper Bratt,NJ,UNK,points,1.5,demon,75.5%,25.0%,+50.5%,2.0219999999999994,+202.2%,4.0,"Extrapolated from 0.5 (85.5%), -10% for +1.0 line"
Mark Scheifele,WPG,UNK,points,2.5,demon,75.0%,25.0%,+50.0%,2.0,+200.0%,4.0,"Extrapolated from 0.5 (95.0%), -20% for +2.0 line"
Kirill Kaprizov,MIN,UNK,points,2.5,demon,75.0%,25.0%,+50.0%,2.0,+200.0%,4.0,"Extrapolated from 0.5 (95.0%), -20% for +2.0 line"
Jack Hughes,NJ,UNK,points,2.5,demon,75.0%,25.0%,+50.0%,2.0,+200.0%,4.0,"Extrapolated from 0.5 (95.0%), -20% for +2.0 line"
Kyle Connor,WPG,UNK,points,1.5,demon,73.0%,25.0%,+48.0%,1.92,+192.0%,4.0,"Extrapolated from 0.5 (83.0%), -10% for +1.0 line"
Adrian Kempe,LA,UNK,points,2.5,demon,72.2%,25.0%,+47.2%,1.8865454545454545,+188.7%,4.0,"Extrapolated from 0.5 (92.2%), -20% for +2.0 line"
Matt Boldy,MIN,UNK,points,1.5,demon,71.9%,25.0%,+46.9%,1.8741818181818184,+187.4%,4.0,"Extrapolated from 0.5 (81.9%), -10% for +1.0 line"
Kyle Connor,WPG,UNK,shots,3.5,demon,71.4%,25.0%,+46.4%,1.8544081423523067,+185.4%,4.0,"Extrapolated from 2.5 (81.4%), -10% for +1.0 line"
William Eklund,SJ,UNK,points,1.5,demon,70.4%,25.0%,+45.4%,1.815,+181.5%,4.0,"Extrapolated from 0.5 (80.4%), -10% for +1.0 line"
Alex DeBrincat,DET,UNK,shots,3.5,demon,70.3%,25.0%,+45.3%,1.813365278097645,+181.3%,4.0,"Extrapolated from 2.5 (80.3%), -10% for +1.0 line"
Sidney Crosby,PIT,UNK,points,2.5,demon,70.0%,25.0%,+45.0%,1.7981818181818179,+179.8%,4.0,"Extrapolated from 0.5 (90.0%), -20% for +2.0 line"
Jake Neighbours,STL,UNK,points,0.5,demon,69.7%,25.0%,+44.7%,1.7876000000000003,+178.8%,4.0,0.88 PPG
Dmitry Orlov,SJ,UNK,points,0.5,demon,68.6%,25.0%,+43.6%,1.7456,+174.6%,4.0,0.80 PPG
Anthony Mantha,PIT,UNK,points,0.5,demon,67.3%,25.0%,+42.3%,1.6923636363636363,+169.2%,4.0,0.91 PPG
Connor Bedard,CHI,UNK,points,1.5,demon,67.0%,25.0%,+42.0%,1.6799999999999997,+168.0%,4.0,"Extrapolated from 0.5 (77.0%), -10% for +1.0 line"
Marco Rossi,MIN,UNK,points,1.5,demon,66.7%,25.0%,+41.7%,1.6680000000000001,+166.8%,4.0,"Extrapolated from 0.5 (76.7%), -10% for +1.0 line"
William Eklund,SJ,UNK,shots,3.5,demon,66.3%,25.0%,+41.3%,1.6510020320307182,+165.1%,4.0,"Extrapolated from 2.5 (76.3%), -10% for +1.0 line"
Justin Brazeau,PIT,UNK,points,1.5,demon,66.0%,25.0%,+41.0%,1.6385454545454543,+163.9%,4.0,"Extrapolated from 0.5 (76.0%), -10% for +1.0 line"
Jesper Bratt,NJ,UNK,points,2.5,demon,65.5%,25.0%,+40.5%,1.621999999999999,+162.2%,4.0,"Extrapolated from 0.5 (85.5%), -20% for +2.0 line"
