player_name,team,opponent,prop_type,line,odds_type,our_probability,pp_implied_probability,edge,expected_value,ev_pct,individual_multiplier,confidence,multiplier_source,reasoning
Kirill Marchenko,CBJ,UNK,shots,3.5,demon,78.4%,50.0%,+28.4%,0.5678532672910757,+56.8%,2.0,20%,fallback_assumption,"Extrapolated from 2.5 (89.9%), normal distribution (mean=5.1, sd=2.0)"
William Eklund,SJ,UNK,shots,2.5,demon,77.5%,50.0%,+27.5%,0.5494111807444813,+54.9%,2.0,20%,fallback_assumption,"Shots model: 3.6 SOG (std=1.4, confidence=77%) | Distance: +1.1 from 2.5 line | Underdog (GS: 1.10x)"
Jackson Blake,CAR,UNK,shots,2.5,demon,77.0%,50.0%,+27.0%,0.5409460998179321,+54.1%,2.0,20%,fallback_assumption,"Shots model: 3.6 SOG (std=1.4, confidence=77%) | Distance: +1.1 from 2.5 line | Favorite (GS: 1.13x)"
Victor Olofsson,COL,UNK,shots,2.5,demon,77.0%,50.0%,+27.0%,0.5409460998179321,+54.1%,2.0,20%,fallback_assumption,"Shots model: 3.6 SOG (std=1.4, confidence=77%) | Distance: +1.1 from 2.5 line | Favorite (GS: 1.13x)"
Dmitri Voronkov,CBJ,UNK,points,0.5,standard,85.4%,57.7%,+27.7%,0.4796605900000004,+48.0%,1.732,20%,fallback_assumption,"Points model: 1.31 PPG (std=0.39, confidence=85%) | Distance: +0.81 from 0.5 line | Favorite (GS: 1.13x)"
Zach Werenski,CBJ,UNK,shots,3.5,demon,74.0%,50.0%,+24.0%,0.47954902373357466,+48.0%,2.0,20%,fallback_assumption,"Extrapolated from 2.5 (88.0%), normal distribution (mean=4.7, sd=1.9)"
Josh Doan,BUF,UNK,shots,2.5,demon,73.6%,50.0%,+23.6%,0.47151481811700946,+47.2%,2.0,20%,fallback_assumption,"Shots model: 3.3 SOG (std=1.3, confidence=74%) | Distance: +0.8 from 2.5 line | Favorite (GS: 1.03x)"
Seth Jarvis,CAR,UNK,shots,2.5,standard,83.9%,57.7%,+26.2%,0.4537484141143622,+45.4%,1.732,20%,fallback_assumption,"Shots model: 4.1 SOG (std=1.7, confidence=84%) | Distance: +1.6 from 2.5 line | Favorite (GS: 1.13x)"
Charlie Coyle,CBJ,UNK,points,0.5,demon,72.3%,50.0%,+22.3%,0.4468920000000003,+44.7%,2.0,20%,fallback_assumption,"Points model: 1.05 PPG (std=0.31, confidence=72%) | Distance: +0.55 from 0.5 line | Favorite (GS: 1.13x)"
Dmitry Orlov,SJ,UNK,points,0.5,demon,72.0%,50.0%,+22.0%,0.4395,+44.0%,2.0,20%,fallback_assumption,"Points model: 1.04 PPG (std=0.31, confidence=72%) | Distance: +0.54 from 0.5 line | Underdog (GS: 1.10x)"
