Player,Team,Opponent,Prop Type,Line,Probability (%),Expected Value,Confidence Tier,Model,Reasoning
Dylan Larkin,DET,ANA,POINTS,0.5,95.0,1.59,T1-ELITE,Statistical,1.45 PPG
Nathan MacKinnon,COL,VGK,POINTS,0.5,95.0,1.62,T1-ELITE,Statistical,1.55 PPG | Underdog (GS: 1.05x)
Mark Stone,VGK,COL,POINTS,0.5,95.0,2.58,T1-ELITE,Statistical,2.17 PPG | Favorite (GS: 1.08x)
Jack Eichel,VGK,COL,POINTS,0.5,95.0,2.27,T1-ELITE,Statistical,1.90 PPG | Favorite (GS: 1.08x)
Leo Carlsson,ANA,DET,POINTS,0.5,93.8,1.48,T1-ELITE,Statistical,1.22 PPG
Cutter Gauthier,ANA,DET,SHOTS,2.5,92.9,6.04,T1-ELITE,Statistical,5.0 SOG/G
Mitch Marner,VGK,COL,POINTS,0.5,91.5,1.43,T1-ELITE,Statistical,1.20 PPG | Favorite (GS: 1.08x)
Cale Makar,COL,VGK,POINTS,0.5,91.4,1.43,T1-ELITE,Statistical,1.36 PPG | Underdog (GS: 1.05x)
Jack Eichel,VGK,COL,SHOTS,2.5,90.5,5.25,T1-ELITE,Statistical,4.4 SOG/G | Favorite (GS: 1.08x)
Nathan MacKinnon,COL,VGK,SHOTS,2.5,87.7,4.67,T1-ELITE,Statistical,4.5 SOG/G | Underdog (GS: 1.05x)
Troy Terry,ANA,DET,POINTS,0.5,87.1,1.34,T1-ELITE,Statistical,1.11 PPG
Pavel Dorofeyev,VGK,COL,SHOTS,2.5,81.9,3.93,T1-ELITE,Statistical,3.3 SOG/G | Favorite (GS: 1.08x)
Martin Necas,COL,VGK,POINTS,0.5,81.9,1.24,T1-ELITE,Statistical,1.18 PPG | Underdog (GS: 1.05x)
Mikael Granlund,ANA,DET,POINTS,0.5,80.4,1.21,T1-ELITE,Statistical,1.00 PPG
Mark Stone,VGK,COL,SHOTS,2.5,80.1,3.78,T1-ELITE,Statistical,3.2 SOG/G | Favorite (GS: 1.08x)
Dylan Strome,WSH,NYI,POINTS,0.5,80.1,1.20,T1-ELITE,Statistical,1.11 PPG | Favorite (GS: 1.03x)
Alex DeBrincat,DET,ANA,SHOTS,2.5,80.1,3.77,T1-ELITE,Statistical,3.5 SOG/G
Ivan Barbashev,VGK,COL,POINTS,0.5,79.6,1.19,T1-ELITE,Statistical,1.00 PPG | Favorite (GS: 1.08x)
Pavel Dorofeyev,VGK,COL,POINTS,0.5,79.6,1.19,T1-ELITE,Statistical,1.00 PPG | Favorite (GS: 1.08x)
Alex DeBrincat,DET,ANA,POINTS,0.5,79.6,1.19,T1-ELITE,Statistical,1.09 PPG
Tom Wilson,WSH,NYI,POINTS,0.5,79.5,1.19,T1-ELITE,Statistical,1.10 PPG | Favorite (GS: 1.03x)
Lucas Raymond,DET,ANA,POINTS,0.5,74.6,1.09,T1-ELITE,Statistical,1.00 PPG
Leo Carlsson,ANA,DET,SHOTS,2.5,73.8,3.35,T1-ELITE,Statistical,2.8 SOG/G
Cutter Gauthier,ANA,DET,POINTS,0.5,73.7,1.07,T1-ELITE,Statistical,0.89 PPG
Tomas Hertl,VGK,COL,POINTS,0.5,73.7,1.07,T1-ELITE,Statistical,0.90 PPG | Favorite (GS: 1.08x)
Bo Horvat,NYI,WSH,SHOTS,2.5,73.2,3.32,T1-ELITE,Statistical,3.5 SOG/G | Underdog (GS: 1.00x)
Artturi Lehkonen,COL,VGK,POINTS,0.5,72.4,1.05,T1-ELITE,Statistical,1.00 PPG | Underdog (GS: 1.05x)
Bo Horvat,NYI,WSH,POINTS,0.5,72.2,1.04,T1-ELITE,Statistical,1.10 PPG | Underdog (GS: 1.00x)
